"FUNDING AGENCY","BOROUGH","PROGRAM TYPE","Status","DEVELOPMENT","ADDRESS","SPONSOR","Postcode","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA"
"AGING","Brooklyn","Senior Center","Occupied","Red Hook East","120 West 9th Street","Spanish Speaking Elderly Council - RAICES, Inc.","11231","40.675925","-74.001961","306","38","85","3339412","3005380001","BK0601"
"OTHER","Brooklyn","Construction","Vacant","Borinquen Plaza I","125 Humboldt Street","YMCA of Greater New York","11206","40.705694","-73.941231","301","34","49302","3071353","3030800020","BK0104"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Kingsborough","129 Kingsborough 1st Walk","Flatbush Development Corporation","11233","40.67591","-73.927147","308","41","307","3324601","3013440001","BK0802"
"DOE","Brooklyn","Child Care","Occupied","Sumner","860 Park Avenue","Brooklyn Kindergarten Society","11206","40.698576","-73.940801","303","36","28502","3324728","3015800001","BK0302"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Low Houses","137 Belmont Avenue","Brooklyn Bureau of Comm. Service","11212","40.669205","-73.905172","316","41","908","3327015","3037270001","BK1602"
"AGING","Brooklyn","Senior Center","Occupied","Low Houses","137 Belmont Avenue","Fort Greene Senior Citizens Council","11212","40.669205","-73.905172","316","41","908","3327015","3037270001","BK1602"
"AGING","Brooklyn","Senior Center","Occupied","Garvey (Group A)","1440 East New York Avenue","Fort Greene Senior Citizens Council","11212","40.670654","-73.914575","316","41","902","3080727","3034960013","BK1602"
,"Brooklyn",,"Vacant","Whitman","149 North Oxford Walk","Vacant","11205","40.693525","-73.975049","302","35","18501","3335256","3020410001","BK0203"
"AGING","Brooklyn","Senior Center","Occupied","Stuyvesant Gardens II","150 Malcolm X Boulevard","Riseboro Community Partnership, Inc.","11221","40.688335","-73.930144","303","36","293","3044658","3016360024","BK0302"
,"Brooklyn","BK PM Office","Occupied","Howard","1620 East New York Avenue","NYCHA","11212","40.673361","-73.908296","316","41","906","3339439","3034890001","BK1602"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Albany","164 Troy Avenue","CAMBA, Inc.","11213","40.673838","-73.936245","308","36","343","3324617","3013520080","BK0802"
,"Brooklyn","TA USE","Occupied","Howard Ave /Park Place","1767B Sterling Place","NYCHA","11233","40.670896","-73.920148","316","41","363","3427326","3014660047","BK1601"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Ingersoll","177 Myrtle Avenue","University Settlement Society of New York, Inc.","11201","40.693614","-73.982305","302","35","1501","3257034","3020500001","BK0202"
"AGING","Brooklyn","Senior Center","Occupied","Glenmore Plaza","1777 Pitkin Avenue","Wayside Out-Reach Development Corporation, Inc.","11212","40.670168","-73.907561","316","37","906","3080766","3035070001","BK1602"
"DYCD","Brooklyn","Community Center - Cornerstone","Occupied","Garvey (Group A)","20 Amboy Street","Research Foundation of CUNY / Medgar Evers College","11212","40.670058","-73.91476","316","41","902","3251969","3034940010","BK1602"
"DOE","Brooklyn","Child Care","RESERVED","Kingsborough","133 Kingsborough 1st Walk","Bedford Stuyvesant Early Childhood Development Ctr., Inc.","11233","40.675367","-73.927198","308","41","307","3324601","3013440001","BK0802"
"DYCD","Brooklyn","Community Center - Cornerstone","Vacant","Stuyvesant Gardens I","214 Stuyvesant Avenue","CAMBA, Inc.","11221","40.687985","-73.933065","303","36","293","3044631","3016350041","BK0302"
"DOE","Brooklyn","Child Care","RESERVED","Stuyvesant Gardens I","214 Stuyvesant Avenue -2nd Fl","Bedford Stuyvesant Early Childhood Development Ctr., Inc.",,,,,,,,,
