"BOROUGH","DEVELOPMENT NAME","ADDRESS","STATUS","SPONSOR","POSTCODE","TYPE","Latitude","Longitude","Community Board","Community Council ","Census Tract","BIN","BBL","NTA"
"Manhattan","Riis","152-154 Avenue D","NYCHA HOLD","NYCHA","10009","Vacant","40.725076","-73.975009","3","2","24","1,077,543","1,003,670,001","Lower East Side                                                            "
"Bronx","Moore","515 Jackson Avenue","Occupied","Bronxworks, Inc.","10455","Senior Center","40.812353","-73.909401","1","8","35","2,091,284","2,025,570,083","Mott Haven-Port Morris                                                     "
"Bronx","Mitchel","188 Lincoln Avenue","Occupied","East Side House Settlement","10454","Senior Center","40.809874","-73.927933","1","8","23","2,091,142","2,023,110,001","Mott Haven-Port Morris                                                     "
"Brooklyn","Brevoort","280 Ralph Avenue","Occupied","Ridgewood-Bushwick Sr Citizens Council, Inc.","11233","Senior Center","40.679794","-73.922153","3","41","381","3,325,173","3,016,880,001","Crown Heights North                                                        "
"Queens","Beach 41st ","426 Beach 40th Street","Occupied","Child Center of New York","11691","Community Center","40.596249","-73.772408","14","31","97,203","4,302,129","4,159,550,003","Hammels-Arverne-Edgemere                                                   "
"Manhattan","Riis","108 Avenue D","Occupied","Chinese-American Planning Council","10009","Child Care ","40.723492","-73.976164","3","2","24","1,077,507","1,003,620,001","Lower East Side                                                            "
"Brooklyn","Whitman","285 Myrtle Avenue","Occupied","Brooklyn Bureau of Comm. Service","11205","Other - Office Space","40.693423","-73.977206","2","35","2,901","3,345,021","3,020,400,001","Fort Greene                                                                "
"Bronx","Davidson","1221 Prospect Avenue","Occupied","Graham Windham Services to Families & Children","10459","Community Center","40.827264","-73.898476","3","17","131","2,005,038","2,026,800,019","Longwood                                                                   "
"Manhattan","Baruch","110-120 Baruch Drive","Occupied","Henry Street Settlement, Inc.","10002","Child Care - Early Learn","40.718774","-73.977424","3","2","1,002","1,078,034","1,003,230,001","Lower East Side                                                            "
"Queens","Conlon-Lihfe Towers","92-33 170th Street","Occupied","Jamaica Service Program for Older Adults (JSPOA)","11433","Senior Center","40.706193","-73.789136","12","27","444","4,457,492","4,102,120,033","Jamaica                                                                    "
"Brooklyn","Wyckoff Gardens","272 Wyckoff Street","Occupied","Colony South Brooklyn Houses","11217","Community Center","40.68342","-73.984081","6","33","127","3,336,056","3,003,940,001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Manhattan","Public School 39 (Conversion)","120 West 140th Street","Occupied","ARC XVI Ft. Washington, Inc.","10030","Senior Center","40.817579","-73.939272","10","9","230","1,060,054","1,020,080,013","Central Harlem North-Polo Grounds                                          "
"Queens","Bland","133-16 Roosevelt Avenue","Occupied","League For Better Community Life, Inc.","11354","Child Care - Early Learn","40.758288","-73.833832","7","20","871","4,443,446","4,050,370,008","Flushing                                                                   "
"Manhattan","Smith","60 Madison Street","Occupied","Gouvenier Hospital ","10038","Health Clinic","40.712019","-73.997309","3","1","25","1,077,421","1,001,110,100","Chinatown                                                                  "
"Brooklyn","Lafayette Gardens","470 Dekalb Avenue","NYCHA HOLD","NYCHA","11205","Vacant","40.690588","-73.958131","3","35","233","3,346,319","3,019,380,001","Bedford                                                                    "
"Queens","Queensbridge North","10-25 41st Avenue","Occupied","Jacob A. Riis Neighborhood Settlement, Inc.","11101","Community Center","40.755488","-73.945328","1","26","25","4,433,386","4,004,700,100","Queensbridge-Ravenswood-Long Island City                                   "
"Brooklyn","Marcy","582 Park Avenue","NYCHA HOLD","NYCHA","11206","Vacant","40.697302","-73.951996","3","36","255","3,324,244","3,017,380,001","Bedford                                                                    "
"Bronx","Castle Hill","2165 Randall Avenue","Occupied","Leake & Watts Children's Services Inc.","10473","Child Care ","40.818918","-73.848836","9","18","86","2,092,673","2,035,700,001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Queens","Beach 41st ","426 Beach 40th Street","Occupied","Research Foundation of the State University of New York","11691","Other - ATTAIN LAB","40.596249","-73.772408","14","31","97,203","4,302,129","4,159,550,003","Hammels-Arverne-Edgemere                                                   "
"Brooklyn","Weeksville","1640 Pacific Street","Occupied","Brooklyn Kindergarten Society, Inc. & DDC","11213","Child Care - UPK 2015","40.676818","-73.934627","8","36","309","3,341,633","3,013,410,012","Crown Heights North                                                        "
"Brooklyn","Armstrong","360 Nostrand Avenue","Occupied","Provider Name Unknown","11216","Senior Center","40.687303","-73.950965","3","36","243","3,350,437","3,018,020,051","Bedford                                                                    "
"Brooklyn","Breukelen","715 East 105th Street","Occupied","Recreation Rooms & Settlement","11236","Child Care - Early Learn","40.648732","-73.896005","18","42","982","3,321,523","3,081,930,001","Canarsie                                                                   "
"Bronx","(Murphy Consolidated) 1010 East 178th Street ","1030 East 178th Street","Occupied","Phipps Community Development","10460","Other - Education / GED","40.841154","-73.879864","6","15","361","2,013,245","2,031,300,100","East Tremont                                                               "
"Bronx","McKinley","751 East 161st Street","Occupied","Southeast Bronx Neighborhood Centers","10456","Community Center","40.821363","-73.904836","3","16","133","2,091,958","2,026,380,090","Morrisania-Melrose                                                         "
"Bronx","Gun Hill","744 Gunhill Road","Vacant ","NYCHA","10467","Vacant","40.876876","-73.864868","12","12","374","2,093,515","2,046,290,050","Williamsbridge-Olinville                                                   "
"Bronx","Melrose","286 East 156th Street","Occupied","Bronxworks, Inc.","10451","Community Center","40.822022","-73.920289","1","17","67","2,120,133","2,024,130,001","Melrose South-Mott Haven North                                             "
"Brooklyn","Brownsville","528 Mother Gaston Blvd.","Occupied","NYCHA","11212","Senior Center","40.665956","-73.905923","16","41","912","3,325,326","3,035,610,001","Brownsville                                                                "
"Queens","International Towers","90-20 170th Street","Occupied","Jamaica Service Program for Older Adults (JSPOA)","11432","Senior Center","40.708578","-73.790579","12","27","460","4,209,721","4,098,020,041","Jamaica                                                                    "
"Brooklyn","Brevoort","258 Ralph Avenue","NYCHA HOLD","NYCHA","11233","Vacant- health clinic","40.68071","-73.922336","3","41","381","3,325,169","3,016,880,001","Crown Heights North                                                        "
"Brooklyn","Low Houses","137 Belmont Avenue","Occupied","Fort Greene Senior Citizens Council","11212","Senior Center","40.669205","-73.905172","16","41","908","3,327,015","3,037,270,001","Brownsville                                                                "
"Manhattan","Grant","1299 Amsterdam Avenue","Occupied","East Harlem Block Nursery, Inc.","10027","Child Care - Early Learn","40.811919","-73.957318","9","7","20,901","1,084,095","1,019,640,001","Morningside Heights                                                        "
"Brooklyn","Armstrong","262 Lexington Avenue","Occupied","Bedford Stuyvesant Early Childhood Development Ctr., Inc.","11216","Child Care ","40.687597","-73.951574","3","36","243","3,050,588","3,018,020,051","Bedford                                                                    "
